% Model:              MRP_withobs.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 14 2026, 23:47
% Table:              Table 4 - Global Evaluation 1
% u_in (m/s)             h_ratio                  Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)
0.026000000000000002     0.4                      40.30000000000001        111.20615911035074       1998.6408489082405       2.7594580424404644       1997.0026535896527       -2.6108974413806885      40.30000000000001        111.20615911035074       1998.6408489082405       2.7594580424404644       1997.0026535896527       -2.6108974413806885      40.30000000000001        111.20615911035074       1998.6408489082405       2.7594580424404644       1997.0026535896527       -2.6108974413806885      40.30000000000001        111.20615911035074       1998.6408489082405       2.7594580424404644       1997.0026535896527       -2.6108974413806885
0.029                    0.1                      44.95000000000001        124.03763900769891       1999.1196734899047       2.7594580424404644       1998.134916726838        -4.343366937092659       44.95000000000001        124.03763900769891       1999.1196734899047       2.7594580424404644       1998.134916726838        -4.343366937092659       44.95000000000001        124.03763900769891       1999.1196734899047       2.7594580424404644       1998.134916726838        -4.343366937092659       44.95000000000001        124.03763900769891       1999.1196734899047       2.7594580424404644       1998.134916726838        -4.343366937092659
0.029                    0.2                      44.95000000000001        124.03763900769891       1999.0136545932257       2.7594580424404644       1997.7850627596372       -3.4813514536310306      44.95000000000001        124.03763900769891       1999.0136545932257       2.7594580424404644       1997.7850627596372       -3.4813514536310306      44.95000000000001        124.03763900769891       1999.0136545932257       2.7594580424404644       1997.7850627596372       -3.4813514536310306      44.95000000000001        124.03763900769891       1999.0136545932257       2.7594580424404644       1997.7850627596372       -3.4813514536310306
0.029                    0.3                      44.95000000000001        124.03763900769891       1998.8938867833301       2.7594580424404644       1997.3889826032591       -2.8421477077570376      44.95000000000001        124.03763900769891       1998.8938867833301       2.7594580424404644       1997.3889826032591       -2.8421477077570376      44.95000000000001        124.03763900769891       1998.8938867833301       2.7594580424404644       1997.3889826032591       -2.8421477077570376      44.95000000000001        124.03763900769891       1998.8938867833301       2.7594580424404644       1997.3889826032591       -2.8421477077570376
0.029                    0.4                      44.95000000000001        124.03763900769891       1998.7463213329745       2.7594580424404644       1997.1291709990028       -2.6448746761088153      44.95000000000001        124.03763900769891       1998.7463213329745       2.7594580424404644       1997.1291709990028       -2.6448746761088153      44.95000000000001        124.03763900769891       1998.7463213329745       2.7594580424404644       1997.1291709990028       -2.6448746761088153      44.95000000000001        124.03763900769891       1998.7463213329745       2.7594580424404644       1997.1291709990028       -2.6448746761088153
0.032                    0.1                      49.60000000000001        136.86911890504706       1999.1922139464377       2.7594580424404644       1998.197645509681        -4.300518504016232       49.60000000000001        136.86911890504706       1999.1922139464377       2.7594580424404644       1998.197645509681        -4.300518504016232       49.60000000000001        136.86911890504706       1999.1922139464377       2.7594580424404644       1998.197645509681        -4.300518504016232       49.60000000000001        136.86911890504706       1999.1922139464377       2.7594580424404644       1998.197645509681        -4.300518504016232
0.032                    0.2                      49.60000000000001        136.86911890504706       1999.0938820553215       2.7594580424404644       1997.8473420227479       -3.431225515438885       49.60000000000001        136.86911890504706       1999.0938820553215       2.7594580424404644       1997.8473420227479       -3.431225515438885       49.60000000000001        136.86911890504706       1999.0938820553215       2.7594580424404644       1997.8473420227479       -3.431225515438885       49.60000000000001        136.86911890504706       1999.0938820553215       2.7594580424404644       1997.8473420227479       -3.431225515438885
0.032                    0.3                      49.60000000000001        136.86911890504706       1998.9785341664142       2.7594580424404644       1997.4520365793708       -2.801943482968016       49.60000000000001        136.86911890504706       1998.9785341664142       2.7594580424404644       1997.4520365793708       -2.801943482968016       49.60000000000001        136.86911890504706       1998.9785341664142       2.7594580424404644       1997.4520365793708       -2.801943482968016       49.60000000000001        136.86911890504706       1998.9785341664142       2.7594580424404644       1997.4520365793708       -2.801943482968016
0.032                    0.4                      49.60000000000001        136.86911890504706       1998.8289821702585       2.7594580424404644       1997.2493563503074       -2.70770451569028        49.60000000000001        136.86911890504706       1998.8289821702585       2.7594580424404644       1997.2493563503074       -2.70770451569028        49.60000000000001        136.86911890504706       1998.8289821702585       2.7594580424404644       1997.2493563503074       -2.70770451569028        49.60000000000001        136.86911890504706       1998.8289821702585       2.7594580424404644       1997.2493563503074       -2.70770451569028
0.034999999999999996     0.1                      54.25                    149.7005988023952        1999.2531286711944       2.7594580424404644       1998.2528556533719       -4.275992543609162       54.25                    149.7005988023952        1999.2531286711944       2.7594580424404644       1998.2528556533719       -4.275992543609162       54.25                    149.7005988023952        1999.2531286711944       2.7594580424404644       1998.2528556533719       -4.275992543609162       54.25                    149.7005988023952        1999.2531286711944       2.7594580424404644       1998.2528556533719       -4.275992543609162
0.034999999999999996     0.2                      54.25                    149.7005988023952        1999.1594632445367       2.7594580424404644       1997.9012885825264       -3.3994961867604303      54.25                    149.7005988023952        1999.1594632445367       2.7594580424404644       1997.9012885825264       -3.3994961867604303      54.25                    149.7005988023952        1999.1594632445367       2.7594580424404644       1997.9012885825264       -3.3994961867604303      54.25                    149.7005988023952        1999.1594632445367       2.7594580424404644       1997.9012885825264       -3.3994961867604303
0.034999999999999996     0.3                      54.25                    149.7005988023952        1999.0475954637755       2.7594580424404644       1997.5090913703882       -2.780077078875959       54.25                    149.7005988023952        1999.0475954637755       2.7594580424404644       1997.5090913703882       -2.780077078875959       54.25                    149.7005988023952        1999.0475954637755       2.7594580424404644       1997.5090913703882       -2.780077078875959       54.25                    149.7005988023952        1999.0475954637755       2.7594580424404644       1997.5090913703882       -2.780077078875959
